Cluster_higher_urban,Cluster_literacy_density,Cluster_male_female_literacy,State (2001 u.csv),Area (2001 u.csv),BPF (2001 u.csv),BPM (2001 u.csv),BPT (2001 u.csv),Density (2001 u.csv),Density rate (2001 u.csv),Female (2001 u.csv),GF (2001 u.csv),GM (2001 u.csv),Growth Rate (2001 U.Csv),GT (2001 u.csv),HF (2001 u.csv),Higher (2001 U.Csv),Higher Male (2001 U.Csv),higher_female (2001_u.csv),HM (2001 u.csv),HT (2001 u.csv),IF (2001 u.csv),IM (2001 u.csv),IT (2001 u.csv),LF (2001 u.csv),Literacy (2001 U.Csv),Literacy Female (2001 U.Csv),Literacy Male (2001 U.Csv),LM (2001 u.csv),LT (2001 u.csv),Male (2001 u.csv),MF (2001 u.csv),MM (2001 u.csv),MT (2001 u.csv),NoF (2001 u.csv),NoM (2001 u.csv),NoT (2001 u.csv),PF (2001 u.csv),PM (2001 u.csv),Prev (2001 u.csv),PT (2001 u.csv),SF (2001 u.csv),SM (2001 u.csv),ST (2001 u.csv),Total (2001 u.csv),Urban Rate (2001 U.Csv),UrbanPop (2001 u.csv)
Cluster 1,Cluster 1,Cluster 1,ANDAMAN & NICOBAR ISLANDS,8249,24089,29312,53401,43,0.263827179,163180,21,29,0.268975739,50,14554,0.198794335,0.173391347,0.173391347,21541,36095,56876,46141,103017,106304,0.710749905,0.651452384,0.760892772,146831,253135,192972,23188,32982,56170,745,1224,1969,29984,40793,280661,70777,13719,20937,34656,356152,0.326259575,116198
Cluster 2,Cluster 2,Cluster 2,ANDHRA PRADESH,275045,4554633,5253668,9808301,277,0.145538218,37682594,10121,34006,0.145877155,44127,1934144,0.159821426,0.107244262,0.107244262,4444887,6379031,21193059,15082625,36275684,16489535,0.524003665,0.437590231,0.608522249,23444788,39934323,38527413,1663875,2422208,4086083,652732,838354,1491086,5575853,6789316,66508008,12365169,2096977,3659857,5756834,76210007,0.273047344,20808940
Cluster 2,Cluster 2,Cluster 3,ARUNACHAL PRADESH,83743,62270,86467,148737,13,0.259208752,518027,16,105,0.269976103,121,16731,0.111624382,0.070502117,0.070502117,43780,60511,336523,276660,613183,181504,0.441529261,0.350375560,0.522951473,303281,484785,579941,28900,51569,80469,3733,5613,9346,50073,73566,864558,123639,19775,42153,61928,1097968,0.207547943,227881
Cluster 2,Cluster 2,Cluster 2,ASSAM,78438,1774106,2332683,4106789,340,0.189816047,12878491,225,1033,0.189218572,1258,486316,0.144009865,0.111516326,0.111516326,999346,1485662,7051834,5588340,12640174,5826657,0.525795400,0.452433208,0.594372868,8188697,14015354,13777037,1134538,1441104,2575642,113888,188402,302290,1367230,1822109,22414322,3189339,949621,1402118,2351739,26655528,0.129025394,3439240
Cluster 2,Cluster 2,Cluster 3,BIHAR,94163,3136192,4754137,7890329,881,0.285555413,39754714,4901,20088,0.286189314,24989,820649,0.105551161,0.053759461,0.053759461,3163391,3984040,29289513,22599419,51888932,10465201,0.374820914,0.263244278,0.477395104,20644376,31109577,43243795,1378075,3012151,4390226,605318,1109731,1715049,3203792,5130917,64530554,8334709,1311642,3439918,4751560,82998509,0.104601879,8681800
Not Clustered,Not Clustered,Cluster 1,CHANDIGARH,114,37630,50888,88518,7900,0.402770963,393697,864,359,0.402825479,1223,90394,0.380668084,0.347140059,0.347140059,126619,217013,133138,124252,257390,260559,0.714212750,0.661826227,0.754897049,382686,643245,506938,34345,55766,90111,2501,3444,5945,49194,66155,642015,115349,45410,79197,124607,900635,0.897716611,808515
Cluster 2,Cluster 2,Cluster 2,CHHATTISGARH,135191,1631284,2165788,3797072,154,0.181918768,10359585,614,2483,0.182735632,3097,340171,0.105092143,0.062005187,0.062005187,862595,1202766,5897831,3762823,9660654,4461754,0.536299062,0.430688488,0.640753801,6711395,11173149,10474218,578805,980634,1559439,374931,314493,689424,1234034,1702686,17614928,2936720,301563,682043,983606,20833803,0.200911327,4185747
Cluster 2,Cluster 2,Cluster 3,DADRA & NAGAR HAVELI,491,9787,16321,26108,449,0.592026113,98824,25,97,0.592249977,122,5515,0.163567509,0.091485874,0.091485874,15269,20784,67069,49517,116586,31755,0.471241326,0.321328827,0.593008729,72149,103904,121666,4284,11124,15408,348,880,1228,8290,16787,138477,25077,3501,11658,15159,220490,0.228867522,50463
Cluster 1,Cluster 3,Cluster 1,DAMAN & DIU,112,9166,12399,21565,1413,0.557852460,65692,15,43,0.557340578,58,5989,0.238325200,0.151099068,0.151099068,16108,22097,29084,21520,50604,36608,0.680134510,0.557267247,0.767381529,70992,107600,92512,6612,14052,20664,141,302,443,10759,16449,101586,27208,3922,11627,15549,158204,0.362493995,57348
Cluster 3,Cluster 1,Cluster 1,GOA,3702,91455,97451,188906,364,0.151937138,660420,214,255,0.152056817,469,118096,0.315887889,0.279263196,0.279263196,152372,270468,215890,146216,362106,444530,0.731309195,0.673101965,0.787244197,541032,985562,687248,70289,88969,159258,8214,9796,18010,90137,103532,1169793,193669,66121,88654,154775,1347668,0.497583233,670577
Cluster 1,Cluster 1,Cluster 2,GUJARAT,196024,3507443,4576820,8084263,258,0.224272664,24285440,3804,13673,0.226616551,17477,1713836,0.176535730,0.134053408,0.134053408,2978662,4692498,12290963,8552304,20843267,11994477,0.588655049,0.493895808,0.675872011,17833273,29827750,26385577,1590320,2833064,4423384,118356,168530,286886,3519768,4557086,41309582,8076854,1537906,2697364,4235270,50671017,0.373591278,18930250
Cluster 1,Cluster 2,Cluster 2,HARYANA,44212,1145679,1541553,2687232,478,0.283636288,9780611,9678,6768,0.284318275,16446,585069,0.188687125,0.130326316,0.130326316,1148682,1733751,5167143,3883744,9050887,4613468,0.571952063,0.471695275,0.658240051,7480209,12093677,11363953,743466,1275057,2018523,76898,93084,169982,1372196,1854447,16463648,3226643,679924,1559586,2239510,21144564,0.289214003,6115304
Cluster 1,Cluster 1,Cluster 1,HIMACHAL PRADESH,55673,376373,440504,816877,109,0.173564368,2989960,3480,2692,0.175409897,6172,204374,0.224413860,0.171141420,0.171141420,340720,545094,1226725,809554,2036279,1763235,0.664969973,0.589718592,0.737833637,2278386,4041621,3087940,298880,391813,690693,28850,30710,59560,547203,562768,5170877,1109971,303852,508847,812699,6077900,0.097991247,595581
