State,Total,Male,Female,IT,IM,IF,LT,LM,LF,NoT,NoM,NoF,BPT,BPM,BPF,PT,PM,PF,MT,MM,MF,ST,SM,SF,HT,HM,HF,GT,GM,GF,Area,Density,UrbanPop,Prev,literacy,higher,higher_male,higher_female,literacy_male,literacy_female,urban_rate,growth_rate,Density_rate
ANDAMAN & NICOBAR ISLANDS,356152,192972,163180,103017,46141,56876,253135,146831,106304,1969,1224,745,53401,29312,24089,70777,40793,29984,56170,32982,23188,34656,20937,13719,36095,21541,14554,50,29,21,8249,43,116198,280661,0.7107499045351423,0.19879433500303242,0.17339134697879643,0.17339134697879643,0.7608927720083742,0.6514523838705724,0.32625957456366944,0.26897573941516634,0.26382717940861045
ANDHRA PRADESH,76210007,38527413,37682594,36275684,15082625,21193059,39934323,23444788,16489535,1491086,838354,652732,9808301,5253668,4554633,12365169,6789316,5575853,4086083,2422208,1663875,5756834,3659857,2096977,6379031,4444887,1934144,44127,34006,10121,275045,277,20808940,66508008,0.524003665292932,0.15982142607597452,0.10724426243055347,0.10724426243055347,0.6085222488205995,0.43759023065131875,0.2730473440318671,0.14587715512393634,0.1455382184954329
ARUNACHAL PRADESH,1097968,579941,518027,613183,276660,336523,484785,303281,181504,9346,5613,3733,148737,86467,62270,123639,73566,50073,80469,51569,28900,61928,42153,19775,60511,43780,16731,121,105,16,83743,13,227881,864558,0.44152926132637743,0.11162438249566473,0.07050211668503766,0.07050211668503766,0.522951472649804,0.35037555957508004,0.2075479431094531,0.2699761033961863,0.2592087517552322
ASSAM,26655528,13777037,12878491,12640174,5588340,7051834,14015354,8188697,5826657,302290,188402,113888,4106789,2332683,1774106,3189339,1822109,1367230,2575642,1441104,1134538,2351739,1402118,949621,1485662,999346,486316,1258,1033,225,78438,340,3439240,22414322,0.5257953997384708,0.14400986542078625,0.11151632594222413,0.11151632594222413,0.5943728684186592,0.45243320820739014,0.12902539390703496,0.18921857194698996,0.18981604707918445
BIHAR,82998509,43243795,39754714,51888932,22599419,29289513,31109577,20644376,10465201,1715049,1109731,605318,7890329,4754137,3136192,8334709,5130917,3203792,4390226,3012151,1378075,4751560,3439918,1311642,3984040,3163391,820649,24989,20088,4901,94163,881,8681800,64530554,0.37482091395159883,0.10555116116603974,0.053759461079257165,0.053759461079257165,0.47739510373684824,0.2632442784018016,0.10460187905303214,0.2861893142897859,0.2855554130218686
CHANDIGARH,900635,506938,393697,257390,124252,133138,643245,382686,260559,5945,3444,2501,88518,50888,37630,115349,66155,49194,90111,55766,34345,124607,79197,45410,217013,126619,90394,1223,359,864,114,7900,808515,642015,0.714212749893131,0.3806680841850472,0.34714005948737225,0.34714005948737225,0.7548970485542611,0.6618262267683015,0.8977166110577537,0.40282547915547146,0.4027709632952502
CHHATTISGARH,20833803,10474218,10359585,9660654,3762823,5897831,11173149,6711395,4461754,689424,314493,374931,3797072,2165788,1631284,2936720,1702686,1234034,1559439,980634,578805,983606,682043,301563,1202766,862595,340171,3097,2483,614,135191,154,4185747,17614928,0.5362990616739536,0.10509214280273266,0.06200518650119672,0.06200518650119672,0.6407538013816402,0.4306884880041044,0.20091132665505188,0.18273563195943804,0.1819187679904226
DADRA & NAGAR HAVELI,220490,121666,98824,116586,49517,67069,103904,72149,31755,1228,880,348,26108,16321,9787,25077,16787,8290,15408,11124,4284,15159,11658,3501,20784,15269,5515,122,97,25,491,449,50463,138477,0.4712413261372398,0.16356750873055467,0.09148587387679107,0.09148587387679107,0.5930087288149524,0.3213288270055857,0.2288675223366139,0.5922499765303986,0.5920261126396441
DAMAN & DIU,158204,92512,65692,50604,21520,29084,107600,70992,36608,443,302,141,21565,12399,9166,27208,16449,10759,20664,14052,6612,15549,11627,3922,22097,16108,5989,58,43,15,112,1413,57348,101586,0.6801345098733281,0.2383252003742004,0.15109906837971138,0.15109906837971138,0.7673815288827396,0.5572672471533825,0.36249399509494074,0.5573405784261611,0.5578524599846436
GOA,1347668,687248,660420,362106,146216,215890,985562,541032,444530,18010,9796,8214,188906,97451,91455,193669,103532,90137,159258,88969,70289,154775,88654,66121,270468,152372,118096,469,255,214,3702,364,670577,1169793,0.7313091948462084,0.315887889302113,0.2792631961479059,0.2792631961479059,0.7872441971457174,0.6731019654159475,0.497583232665612,0.1520568168898258,0.1519371375961387
GUJARAT,50671017,26385577,24285440,20843267,8552304,12290963,29827750,17833273,11994477,286886,168530,118356,8084263,4576820,3507443,8076854,4557086,3519768,4423384,2833064,1590320,4235270,2697364,1537906,4692498,2978662,1713836,17477,13673,3804,196024,258,18930250,41309582,0.588655049098383,0.17653573047487878,0.1340534081326095,0.1340534081326095,0.6758720114401895,0.4938958075291203,0.373591278027832,0.22661655109461046,0.2242726639064031
HARYANA,21144564,11363953,9780611,9050887,3883744,5167143,12093677,7480209,4613468,169982,93084,76898,2687232,1541553,1145679,3226643,1854447,1372196,2018523,1275057,743466,2239510,1559586,679924,1733751,1148682,585069,16446,6768,9678,44212,478,6115304,16463648,0.5719520629510261,0.18868712544746724,0.1303263160144085,0.1303263160144085,0.6582400507992245,0.47169527547921086,0.28921400318304036,0.2843182750262882,0.28363628765629595
HIMACHAL PRADESH,6077900,3087940,2989960,2036279,809554,1226725,4041621,2278386,1763235,59560,30710,28850,816877,440504,376373,1109971,562768,547203,690693,391813,298880,812699,508847,303852,545094,340720,204374,6172,2692,3480,55673,109,595581,5170877,0.6649699731815265,0.22441386005034633,0.17114141995210638,0.17114141995210638,0.7378336366639248,0.5897185915530643,0.09799124697675184,0.17540989661908415,0.17356436828800986
JAMMU & KASHMIR,10143700,5360926,4782774,5336414,2300298,3036116,4807286,3060628,1746658,246932,135290,111642,860480,496517,363963,1031707,617935,413772,1074049,710489,363560,914050,638612,275438,678204,460392,217812,1087,807,280,222236,100,2516638,7837051,0.4739183926969449,0.15707690487691867,0.10318906977415199,0.10318906977415199,0.5709140547733731,0.365197686530871,0.24809862279050052,0.29432614385181366,1.8357095034854307
JHARKHAND,26945829,13885037,13060792,15168628,6238180,8930448,11777201,7646857,4130344,317100,199931,117169,3147802,1864147,1283655,3087105,1924134,1162971,1906603,1279861,626742,1747816,1224552,523264,1561308,1146634,414674,8336,7101,1235,79714,338,5993741,21843911,0.43706953681031674,0.12311590042377245,0.07190781385998644,0.07190781385998644,0.5507264402680382,0.3162399339948144,0.22243668955221232,0.23356247880702316,0.23344816777544997
KARNATAKA,52850562,26898918,25951644,22415600,9237707,13177893,30434962,17661211,12773751,538542,318906,219636,7676809,4205270,3471539,8469455,4606498,3862957,3815098,2239919,1575179,5170384,3083899,2086485,4695597,3152030,1543567,69039,54661,14378,191791,276,17961529,44977201,0.5758682755350832,0.18798324225956198,0.1404315657227727,0.1404315657227727,0.6565770043241145,0.4922135568752407,0.33985502367978604,0.17505226703635915,0.1769144104809902
KERALA,31841374,15468614,16372760,6355686,2715012,3640674,25485688,12753602,12732086,285154,136951,148203,4931086,2408299,2522787,6055241,3098641,2956600,6034912,3088153,2946759,4531201,2248934,2282267,3597240,1755979,1841261,50052,16129,33923,38863,819,8266925,29098518,0.8003953598233543,0.25685113337131743,0.25392487277648973,0.25392487277648973,0.8244825295918561,0.7776383456423963,0.2596284004578446,0.09426102044097229,0.09382879911616121
