State,Total,Male,Female,IT,IM,IF,LT,LM,LF,NoT,NoM,NoF,BPT,BPM,BPF,PT,PM,PF,MT,MM,MF,ST,SM,SF,HT,HM,HF,GT,GM,GF,Area,Density,UrbanPop,Prev
ANDAMAN & NICOBAR ISLANDS,380581,202871,177710,86300,38494,47806,294281,164377,129904,5902,3041,2861,42129,22513,19616,68415,37920,30495,68620,39337,29283,45104,26053,19051,38970,21414,17556,24159,13622,10537,8249,46,143488,356152
ANDHRA PRADESH,84580777,42442146,42138631,34024017,14190903,19833114,50556760,28251243,22305517,3142311,1741175,1401136,7437519,3884076,3553443,13449300,6904114,6545186,5572154,3006742,2565412,8585481,4842743,3742738,6442782,4042297,2400485,5577387,3632622,1944765,275045,308,28219075,76210007
ARUNACHAL PRADESH,1383727,713912,669815,617722,274044,343678,766005,439868,326137,21651,12529,9122,164976,88788,76188,189369,102518,86851,145848,82535,63313,109304,65757,43547,79377,50199,29178,53606,36430,17176,83743,17,317369,1097968
ASSAM,31205576,15939443,15266133,12027599,5370804,6656795,19177977,10568639,8609338,920663,507614,413049,4550439,2469904,2080535,4383390,2378849,2004541,4285011,2248173,2036838,1445515,802772,642743,2547592,1502142,1045450,1011345,639241,372104,78438,398,4398542,26655528
BIHAR,104099452,54278157,49821295,51594899,22670134,28924765,52504553,31608023,20896530,3025999,1748926,1277073,13701980,7308358,6393622,13154969,7625383,5529586,7969599,4930890,3038709,7266128,4785058,2481070,3967912,2673873,1294039,3061676,2326092,735584,94163,1106,11758016,82998509
CHANDIGARH,1055450,580663,474787,250012,115317,134695,805438,465346,340092,11254,5586,5668,90869,51211,39658,130243,73645,56598,111879,67964,43915,142206,88021,54185,122906,73370,49536,194453,104748,89705,114,9258,1026459,900635
CHHATTISGARH,25545198,12832895,12712303,10165276,4025002,6140274,15379922,8807893,6572029,377765,204602,173163,3687369,2011523,1675846,4192144,2267581,1924563,3202404,1825488,1376916,1628487,1003394,625093,1227839,812397,415442,1018853,659081,359772,135192,189,5937237,20833803
DADRA & NAGAR HAVELI,343709,193760,149949,120479,51239,69240,223230,142521,80709,13111,8683,4428,43709,24482,19227,48436,28803,19633,37385,24919,12466,34255,24529,9726,26621,18543,8078,19174,12227,6947,491,700,160595,220490
DAMAN & DIU,243247,150301,92946,54841,25658,29183,188406,124643,63763,6498,4342,2156,26623,15332,11291,41447,26048,15399,35626,24792,10834,39489,27874,11615,25499,17573,7926,12802,8425,4377,111,2191,182851,158204
GOA,1458545,739140,719405,293058,123317,169741,1165487,615823,549664,99823,45518,54305,161303,80497,80806,181495,94300,87195,166523,91716,74807,185378,102298,83080,217051,124454,92597,146828,74077,72751,3702,394,906814,1347668
GUJARAT,60439692,31491260,28948432,19346334,8016387,11329947,41093358,23474873,17618485,2317423,1230706,1086717,8462829,4486708,3976121,10557001,5568559,4988442,6453935,4031450,2422485,6131997,3788353,2343644,3852723,2404970,1447753,3174158,1891932,1282226,196244,308,25745083,50671017
HARYANA,25351462,13494734,11856728,8752474,3700667,5051807,16598988,9794067,6804921,395890,212259,183631,2473145,1403012,1070133,3772022,2075334,1696688,2705282,1557670,1147612,3225936,2064923,1161013,2117842,1361512,756330,1877085,1102809,774276,44212,573,8842103,21144564
HIMACHAL PRADESH,6864602,3481873,3382729,1824866,729283,1095583,5039736,2752590,2287146,130023,64537,65486,611475,326058,285417,1162995,576764,586231,826611,452919,373692,1127997,666498,461499,724389,409882,314507,446609,251164,195445,55673,123,688552,6077900
JAMMU & KASHMIR,12541302,6640662,5900640,5474069,2375991,3098078,7067233,4264671,2802562,195783,124009,71774,987774,541130,446644,1285909,719512,566397,1666381,1015129,651252,1411973,919672,492301,832040,524196,307844,653764,401279,252485,222236,124,3433242,10143700
JHARKHAND,32988134,16930315,16057819,14660065,6047796,8612269,18328069,10882519,7445550,781448,454490,326958,4293415,2292684,2000731,4808604,2752242,2056362,3091107,1895039,1196068,2473825,1569270,904555,1547220,1010216,537004,1328477,906174,422303,79716,414,7933061,26945829
KARNATAKA,61095297,30966657,30128640,20447975,8458186,11989789,40647322,22508471,18138851,2518692,1354868,1163824,6924069,3655942,3268127,9493106,4944027,4549079,5161708,2869395,2292313,5082407,2784883,2297524,7299494,4344608,2954886,4043647,2489209,1554438,191791,319,23625962,52850562
KERALA,33406061,16027412,17378649,5270237,2322509,2947728,28135824,13704903,14430921,1313536,601366,712170,4401497,2076920,2324577,5065710,2522296,2543414,5059809,2590783,2469026,3852389,1906020,1946369,5854127,2849702,3004425,2531321,1131336,1399985,38852,860,15934926,31841374
LAKSHADWEEP,64473,33123,31350,11920,5100,6820,52553,28023,24530,2729,1250,1479,9410,4523,4887,12813,6500,6313,11305,5970,5335,5775,3252,2523,8143,5023,3120,2302,1458,844,30,2149,50332,60650
