Cluster_higher_urban,Cluster_literacy_density,Cluster_male_female_literacy,State,Area,BPF,BPM,BPT,Density,Density rate,Female,GF,GM,Growth Rate,GT,HF,Higher,Higher Male,higher_female,HM,HT,IF,IM,IT,LF,Literacy,Literacy Female,Literacy Male,LM,LT,Male,MF,MM,MT,No F,No M,No T,PF,PM,Prev,PT,SF,SM,ST,Total,Urban Pop,Urban Rate
Cluster 1,Cluster 1,Cluster 1,ANDAMAN & NICOBAR ISLANDS,8249,19616,22513,42129,46,0.065427121,177710,10537,13622,0.068591500,24159,17556,0.284388869,0.265286140,0.265286140,21414,38970,47806,38494,86300,129904,0.773241439,0.730988689,0.810253807,164377,294281,202871,29283,39337,68620,2861,3041,5902,30495,37920,356152,68415,19051,26053,45104,380581,143488,0.377023551
Cluster 1,Cluster 2,Cluster 2,ANDHRA PRADESH,275045,3553443,3884076,7437519,308,0.111584467,42138631,1944765,3632622,0.109838200,5577387,2400485,0.243620959,0.191937607,0.191937607,4042297,6442782,19833114,14190903,34024017,22305517,0.597733454,0.529336537,0.665641247,28251243,50556760,42442146,2565412,3006742,5572154,1401136,1741175,3142311,6545186,6904114,76210007,13449300,3742738,4842743,8585481,84580777,28219075,0.333634615
Cluster 1,Cluster 2,Cluster 2,ARUNACHAL PRADESH,83743,76188,88788,164976,17,0.296605183,669815,17176,36430,0.260261683,53606,29178,0.175097400,0.134217657,0.134217657,50199,79377,343678,274044,617722,326137,0.553581017,0.486906086,0.616137563,439868,766005,713912,63313,82535,145848,9122,12529,21651,86851,102518,1097968,189369,43547,65757,109304,1383727,317369,0.229358103
Cluster 1,Cluster 2,Cluster 2,ASSAM,78438,2080535,2469904,4550439,398,0.171176350,15266133,372104,639241,0.170698101,1011345,1045450,0.160370441,0.134958670,0.134958670,1502142,2547592,6656795,5370804,12027599,8609338,0.614568916,0.563950150,0.663049455,10568639,19177977,15939443,2036838,2248173,4285011,413049,507614,920663,2004541,2378849,26655528,4383390,642743,802772,1445515,31205576,4398542,0.140953719
Cluster 1,Cluster 2,Cluster 2,BIHAR,94163,6393622,7308358,13701980,1106,0.254772878,49821295,735584,2326092,0.254232796,3061676,1294039,0.137327486,0.090537450,0.090537450,2673873,3967912,28924765,22670134,51594899,20896530,0.504369158,0.419429684,0.582334124,31608023,52504553,54278157,3038709,4930890,7969599,1277073,1748926,3025999,5529586,7625383,82998509,13154969,2481070,4785058,7266128,104099452,11758016,0.112949836
Cluster 1,Cluster 2,Cluster 2,CHHATTISGARH,135192,1675846,2011523,3687369,189,0.226434175,12712303,359772,659081,0.226141862,1018853,415442,0.151698922,0.110153683,0.110153683,812397,1227839,6140274,4025002,10165276,6572029,0.602067050,0.516981777,0.686352768,8807893,15379922,12832895,1376916,1825488,3202404,173163,204602,377765,1924563,2267581,20833803,4192144,625093,1003394,1628487,25545198,5937237,0.232420864
Cluster 1,Cluster 2,Cluster 3,DADRA & NAGAR HAVELI,491,19227,24482,43709,700,0.558800853,149949,6947,12227,0.558841671,19174,8078,0.232900506,0.165062788,0.165062788,18543,26621,69240,51239,120479,80709,0.649473828,0.538243003,0.735554294,142521,223230,193760,12466,24919,37385,4428,8683,13111,19633,28803,220490,48436,9726,24529,34255,343709,160595,0.467241184
Cluster 1,Cluster 2,Cluster 3,GUJARAT,196244,3976121,4486708,8462829,308,0.192854527,28948432,1282226,1891932,0.192786243,3174158,1447753,0.217719144,0.175264173,0.175264173,2404970,3852723,11329947,8016387,19346334,17618485,0.679906807,0.608616211,0.745440894,23474873,41093358,31491260,2422485,4031450,6453935,1086717,1230706,2317423,4988442,5568559,50671017,10557001,2343644,3788353,6131997,60439692,25745083,0.425963173
Cluster 1,Cluster 2,Cluster 3,HARYANA,44212,1070133,1403012,2473145,573,0.198108223,11856728,774276,1102809,0.198958844,1877085,756330,0.284830240,0.227011955,0.227011955,1361512,2117842,5051807,3700667,8752474,6804921,0.654754665,0.573929081,0.725769548,9794067,16598988,13494734,1147612,1557670,2705282,183631,212259,395890,1696688,2075334,21144564,3772022,1161013,2064923,3225936,25351462,8842103,0.348780792
Cluster 1,Cluster 1,Cluster 1,HIMACHAL PRADESH,55673,285417,326058,611475,123,0.126668586,3382729,195445,251164,0.129436483,446609,314507,0.334905796,0.287179671,0.287179671,409882,724389,1095583,729283,1824866,2287146,0.734162884,0.676124514,0.790548650,2752590,5039736,3481873,373692,452919,826611,65486,64537,130023,586231,576764,6077900,1162995,461499,666498,1127997,6864602,688552,0.100304723
