Area Name,Division,Ownership,Household Size,Total number of female headed households,No exclusive room,1,2,3,4,5,6 and above
INDIA,Total,Total,All Households," 2,68,88,926 "," 13,84,943 "," 1,05,64,684 "," 79,47,798 "," 36,91,578 "," 19,13,982 "," 6,75,834 "," 7,10,107 "
INDIA,Total,Total,1," 49,08,712 "," 4,02,092 "," 28,76,403 "," 10,56,180 "," 3,44,456 "," 1,42,547 "," 42,604 "," 44,430 "
INDIA,Total,Total,2," 41,27,487 "," 2,59,218 "," 19,92,892 "," 11,70,554 "," 4,27,136 "," 1,77,934 "," 52,564 "," 47,189 "
INDIA,Total,Total,3," 45,59,792 "," 2,35,148 "," 18,54,024 "," 14,27,511 "," 6,14,754 "," 2,74,135 "," 84,232 "," 69,988 "
INDIA,Total,Total,4," 40,93,966 "," 1,78,719 "," 14,53,869 "," 13,49,147 "," 6,21,144 "," 3,08,728 "," 97,658 "," 84,701 "
INDIA,Total,Total,5," 34,45,578 "," 1,29,367 "," 10,57,674 "," 11,59,201 "," 5,90,063 "," 3,06,445 "," 1,07,436 "," 95,392 "
INDIA,Total,Total,608," 43,46,173 "," 1,43,324 "," 11,26,022 "," 14,46,364 "," 8,06,902 "," 4,67,452 "," 1,73,524 "," 1,82,585 "
INDIA,Total,Total,9+," 14,07,218 "," 37,075 "," 2,03,800 "," 3,38,841 "," 2,87,123 "," 2,36,741 "," 1,17,816 "," 1,85,822 "
INDIA,Total,Owned,All Households," 2,32,90,489 "," 11,23,412 "," 87,67,254 "," 69,49,533 "," 33,19,362 "," 17,98,995 "," 6,47,114 "," 6,84,819 "
INDIA,Total,Owned,1," 42,01,240 "," 3,22,174 "," 24,33,939 "," 9,28,295 "," 3,04,202 "," 1,31,366 "," 39,915 "," 41,349 "
INDIA,Total,Owned,2," 34,02,977 "," 2,01,676 "," 15,95,908 "," 9,85,949 "," 3,65,471 "," 1,61,241 "," 48,781 "," 43,951 "
INDIA,Total,Owned,3," 37,91,747 "," 1,84,109 "," 14,75,863 "," 12,02,785 "," 5,31,933 "," 2,51,857 "," 79,123 "," 66,077 "
INDIA,Total,Owned,4," 35,25,271 "," 1,45,946 "," 11,96,361 "," 11,68,741 "," 5,52,789 "," 2,87,615 "," 92,799 "," 81,020 "
